"","Var1","Freq"
"1","",707266
"2","agriculture",1
"3","atm",24
"4","bank",68
"5","bar",8
"6","bench",16
"7","bicycle_repair_station",3
"8","bureau_de_change",10
"9","bureau_de_change;restaurant",1
"10","bus_station",19
"11","cafe",56
"12","car_decoration",1
"13","car_wash",6
"14","childcare",1
"15","cinema",5
"16","clinic",10
"17","college",18
"18","community_centre",9
"19","courthouse",2
"20","dentist",4
"21","drinking_water",27
"22","driving_school",6
"23","embassy",1
"24","fast_food",14
"25","fountain",5
"26","fuel",35
"27","hospital",30
"28","hot_spring",1
"29","kindergarten",7
"30","language_schoo",1
"31","library",9
"32","love_hotel",1
"33","marketplace",6
"34","motorcycle_parking",2
"35","nightclub",2
"36","parking",11
"37","parking_space",2
"38","party palace",1
"39","pharmacy",39
"40","place_of_worship",136
"41","police",20
"42","post_office",3
"43","prison",2
"44","pub",2
"45","public_building",6
"46","radio",1
"47","recycling",1
"48","restaurant",256
"49","school",152
"50","shelter",10
"51","social_facility",2
"52","studio",8
"53","swimming_pool",1
"54","taxi",6
"55","telephone",3
"56","theatre",1
"57","toilets",25
"58","townhall",9
"59","university",3
"60","vending_machine",2
"61","veterinary",10
"62","waste_disposal",1
"63","yes",1
